abk	Abkhaz
abq	Abaza
acm	Iraqi Arabic
ady	Adyghe
afb	Gulf Arabic
afh	Afrihili
afr	Afrikaans
aii	Assyrian Neo-Aramaic
ain	Ainu
ajp	South Levantine Arabic
akl	Aklanon
aln	Gheg Albanian
alt	Southern Altai
amh	Amharic
ang	Old English
aoz	Uab Meto
apc	North Levantine Arabic
ara	Arabic
arg	Aragonese
arn	Mapuche
arq	Algerian Arabic
ary	Moroccan Arabic
arz	Egyptian Arabic
asm	Assamese
ast	Asturian
ava	Avar
avk	Kotava
awa	Awadhi
ayl	Libyan Arabic
aym	Aymara
aze	Azerbaijani
bak	Bashkir
bal	Baluchi
bam	Bambara
ban	Balinese
bar	Bavarian
bcl	Central Bikol
bel	Belarusian
ben	Bengali
ber	Berber
bfz	Mahasu Pahari
bho	Bhojpuri
bis	Bislama
bjn	Banjar
bod	Tibetan
bom	Berom
bos	Bosnian
bre	Breton
brx	Bodo
bua	Buryat
bul	Bulgarian
bvy	Baybayanon
bzt	Brithenig
cat	Catalan
cay	Cayuga
cbk	Chavacano
ceb	Cebuano
ces	Czech
cha	Chamorro
che	Chechen
chg	Chagatai
chn	Chinook Jargon
cho	Choctaw
chr	Cherokee
chv	Chuvash
cjy	Jin Chinese
ckb	Central Kurdish (Soranî)
ckt	Chukchi
cmn	Mandarin Chinese
cmo	Central Mnong
cor	Cornish
cos	Corsican
cpi	Chinese Pidgin English
crh	Crimean Tatar
crk	Plains Cree
crs	Seychellois Creole
csb	Kashubian
cym	Welsh
cyo	Cuyonon
dan	Danish
dar	Dargwa
deu	German
diq	Southern Zaza (Dimli)
div	Dhivehi
dng	Dungan
drt	Drents
dsb	Lower Sorbian
dtp	Central Dusun
dws	Dutton World Speedwords
egl	Emilian
ell	Greek
emx	Erromintxela
eng	English
enm	Middle English
epo	Esperanto
est	Estonian
eus	Basque
evn	Evenki
ewe	Ewe
ext	Extremaduran
fao	Faroese
fij	Fijian
fin	Finnish
fkv	Kven Finnish
fra	French
frm	Middle French
fro	Old French
frr	North Frisian
fry	Frisian
fuc	Pulaar
fur	Friulian
fuv	Nigerian Fulfulde
gaa	Ga
gag	Gagauz
gan	Gan Chinese
gaz	West-Central Oromo
gbm	Garhwali
gcf	Guadeloupean Creole French
gil	Gilbertese
gla	Scottish Gaelic
gle	Irish
glg	Galician
glv	Manx
gom	Konkani (Goan)
gos	Gronings
got	Gothic
grc	Ancient Greek
grn	Guarani
gsw	Swiss German
guc	Wayuu
guj	Gujarati
guw	Gun
hak	Hakka Chinese
hat	Haitian Creole
hau	Hausa
haw	Hawaiian
hax	Southern Haida
hbo	Ancient Hebrew
hdn	Northern Haida
heb	Hebrew
hif	Fiji Hindi
hil	Hiligaynon
hin	Hindi
hnj	Hmong Njua (Green)
hoc	Ho
hrv	Croatian
hrx	Hunsrik
hsb	Upper Sorbian
hsn	Xiang Chinese
hun	Hungarian
hye	Eastern Armenian
hyw	Western Armenian
iba	Iban
ibo	Igbo
ido	Ido
igs	Interglossa
iii	Nuosu
ike	Inuktitut
ile	Interlingue
ilo	Ilocano
ina	Interlingua
ind	Indonesian
inh	Ingush
isl	Icelandic
isv	Interslavic
ita	Italian
izh	Ingrian
jam	Jamaican Patois
jav	Javanese
jbo	Lojban
jdt	Juhuri (Judeo-Tat)
jpa	Jewish Palestinian Aramaic
jpn	Japanese
kaa	Karakalpak
kab	Kabyle
kal	Greenlandic
kam	Kamba
kan	Kannada
kas	Kashmiri
kat	Georgian
kaz	Kazakh
kbd	Kabardian
kek	Kekchi (Q
kha	Khasi
khm	Khmer
kin	Kinyarwanda
kir	Kyrgyz
kiu	Northern Zaza (Kirmanjki)
kjh	Khakas
klj	Khalaj
kmr	Northern Kurdish (Kurmancî)
knc	Central Kanuri
koi	Komi-Permyak
kor	Korean
kpv	Komi-Zyrian
krc	Karachay-Balkar
krl	Karelian
ksh	Kölsch
kum	Kumyk
kxi	Keningau Murut
kzj	Coastal Kadazan
laa	Southern Subanen
lad	Ladino
lao	Lao
lat	Latin
lbe	Lak
ldn	Láadan
lez	Lezgi
lfn	Lingua Franca Nova
lij	Ligurian
lim	Limburgish
lin	Lingala
lit	Lithuanian
liv	Livonian
lkt	Lakota
lld	Ladin
lmo	Lombard
lou	Louisiana Creole
ltg	Latgalian
ltz	Luxembourgish
lug	Luganda
lut	Lushootseed
lvs	Latvian
lzh	Literary Chinese
lzz	Laz
mad	Madurese
mah	Marshallese
mai	Maithili
mal	Malayalam
mar	Marathi
